timestamp,price,volume,count,asset
1651276800000,0.6037223165471521,7.858839984539858e+07,58475,xrp
1651190400000,0.6208414363404425,1.52845876179634e+08,78440,xrp
1651104000000,0.6469809463967536,1.0591337811846492e+08,59434,xrp
1651017600000,0.6506708544240255,1.1855907470361724e+08,70302,xrp
1650931200000,0.6705060980447961,1.3490436136866525e+08,89731,xrp
1650844800000,0.6692537398791674,1.5146835145177758e+08,88069,xrp
1650758400000,0.7047556733710674,4.1257940351361305e+07,30557,xrp
1650672000000,0.71273052722082,4.042246899622102e+07,31481,xrp
1650585600000,0.7260501408572034,8.386292666670649e+07,61558,xrp
1650499200000,0.7491230782606322,9.418782265909342e+07,67999,xrp
1650412800000,0.7608025333517042,8.693929698118737e+07,61796,xrp
1650326400000,0.7698718796266759,7.476202170724106e+07,58168,xrp
1650240000000,0.7454548092287512,9.916507671842615e+07,73227,xrp
1650153600000,0.7727714713877315,4.505451735234076e+07,58182,xrp
1650067200000,0.7812599251328277,5.380949556664301e+07,50052,xrp
1649980800000,0.7731309217451882,1.2013412208831601e+08,110207,xrp
1649894400000,0.7260153118160977,7.67536500106433e+07,61646,xrp
1649808000000,0.715487233597461,1.1574998572144319e+08,70616,xrp
1649721600000,0.7055999848609041,1.3597978461371753e+08,85793,xrp
1649635200000,0.7172411521941277,1.5040821226104936e+08,100430,xrp
1649548800000,0.7623872621861832,3.654598441487723e+07,34158,xrp
1649462400000,0.7600407477225375,3.2863819551613916e+07,32558,xrp
1649376000000,0.7724914937591477,1.2678798166609736e+08,79263,xrp
1649289600000,0.7762788078203045,8.330867037753911e+07,63799,xrp
1649203200000,0.789419230851116,1.3030243067335683e+08,102111,xrp
1649116800000,0.8244124704682068,9.532198007709794e+07,61099,xrp
1649030400000,0.8271152399759312,9.186075255883178e+07,66431,xrp
1648944000000,0.834841149646472,3.949192270298262e+07,38344,xrp
1648857600000,0.8362309819498036,4.46715346335695e+07,47169,xrp
1648771200000,0.8210802537619546,1.4830436144133058e+08,92003,xrp
1648684800000,0.8314465477988208,1.2880555202729051e+08,102824,xrp
1648598400000,0.8605300624877651,7.60974218921637e+07,72434,xrp
1648512000000,0.8696435400788706,1.0401046307744727e+08,80935,xrp
1648425600000,0.8800552853458845,1.4685400766611457e+08,121741,xrp
1648339200000,0.8417220264629816,5.0056141345137276e+07,47498,xrp
1648252800000,0.8291148619868193,3.661941141093462e+07,36487,xrp
1648166400000,0.8346576796265839,1.0855670012112872e+08,77974,xrp
1648080000000,0.8389461982890772,1.0065360126373683e+08,73846,xrp
1647993600000,0.8284334512519247,9.132174531609121e+07,71695,xrp
1647907200000,0.84639166012184,1.1142551828933398e+08,78770,xrp
1647820800000,0.8203142226071164,1.2359015418587863e+08,84097,xrp
1647734400000,0.8066083815795093,6.1432827729987554e+07,38627,xrp
1647648000000,0.8140642134998196,6.217986148133943e+07,53486,xrp
1647561600000,0.7879206191245016,1.04825598234885e+08,57363,xrp
1647475200000,0.7919902239937631,6.860078279778735e+07,47831,xrp
1647388800000,0.7724270823816387,1.2339186594526185e+08,77092,xrp
1647302400000,0.76029428370871,8.37997922480216e+07,54985,xrp
1647216000000,0.7630687791334688,9.598949958621436e+07,61514,xrp
1647129600000,0.785046774576772,6.927779811425255e+07,51482,xrp
1647043200000,0.8044137952454072,1.1316009287387684e+08,94737,xrp
1646956800000,0.755469828824058,1.7167524215089762e+08,98743,xrp
1646870400000,0.7412018605260439,1.250891282648423e+08,70865,xrp
1646784000000,0.7523660244881625,1.029293822962422e+08,68351,xrp
1646697600000,0.7226683028422147,9.174841784783904e+07,51947,xrp
1646611200000,0.7308117060882069,1.2026741876905216e+08,82319,xrp
